file_path,machine_id,label,label_name,rms,spectral_centroid_hz,spectral_bandwidth_hz,spectral_rolloff_hz,spectral_flatness,zero_crossing_rate,dominant_frequency_hz,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std
D:\pump\id_00\normal\00000882.wav,id_00,0,normal,0.126646,1691.38,1790.94,3588.88,0.05245,0.113988,166.0,-27.396244,99.885971,-9.783221,12.990483,-1.162188,10.864523,3.692006,4.589485,-2.221602,-2.352824,-5.273293,-2.148725,0.373267,16.013817,10.116858,8.536132,5.942296,7.036188,5.861988,7.060166,6.198184,5.142643,5.282531,4.3599,4.498921,4.360819
D:\pump\id_00\normal\00000626.wav,id_00,0,normal,0.151624,1632.73,1813.71,3503.99,0.036866,0.102717,166.8,-26.854748,104.6978,-1.749141,2.16798,-7.635413,2.485816,3.18122,5.946091,-1.097371,-2.835142,-4.302526,-1.301081,-1.987087,12.093577,8.655396,7.948462,8.601194,7.077348,8.354753,6.317034,6.693136,5.927956,5.140138,5.218201,5.189061,4.796033
D:\pump\id_04\normal\00000012.wav,id_04,0,normal,0.253041,2489.19,2152.98,5344.55,0.064451,0.181216,576.7,30.003628,54.237789,3.930249,23.819914,-0.167703,-9.50751,-11.620577,7.123187,-6.43279,4.618292,11.349814,8.164762,-9.121771,3.890556,2.896824,2.679784,2.735306,2.906997,2.718684,2.692588,2.816746,2.62872,2.821057,3.054922,2.663776,2.740512
D:\pump\id_06\normal\00000096.wav,id_06,0,normal,0.257688,897.57,1180.04,1513.63,0.003099,0.061002,187.8,-58.212303,160.452805,-1.685571,16.497036,-7.577458,4.640234,-4.874331,-7.321014,-12.563864,-6.115778,-4.406737,1.031561,2.414197,9.418394,10.996639,8.08604,6.286653,4.895691,5.379683,5.217142,4.877521,4.829551,4.545429,3.897141,3.893076,4.08481
D:\pump\id_00\normal\00000177.wav,id_00,0,normal,0.102573,1983.17,1892.28,4076.88,0.081062,0.142319,165.1,-40.595066,81.816238,-13.587262,13.675959,-1.049888,11.933596,5.010013,3.990445,1.366238,0.564951,-1.51941,3.291341,1.87063,16.711126,11.535387,9.3964,9.107141,7.527911,8.291036,7.229898,6.30512,6.790066,5.990658,6.786383,5.79368,5.214721
D:\pump\id_00\normal\00000185.wav,id_00,0,normal,0.097284,1998.32,1930.63,4189.25,0.089439,0.144789,165.3,-40.109108,82.12162,-11.20078,10.023438,-2.12351,10.551655,6.319101,5.406259,-0.087235,0.361213,-2.029109,3.517252,2.375961,14.524574,11.347931,8.337685,8.458192,6.675169,7.179893,6.820755,7.176095,5.42134,5.854044,5.590355,5.321498,4.806333
D:\pump\id_00\normal\00000048.wav,id_00,0,normal,0.109824,1953.4,1883.34,4034.0,0.084228,0.144104,71.6,-26.726646,84.206055,-13.584502,14.246884,-0.545624,9.302939,4.103454,3.881696,-1.443411,-1.025188,-1.425337,2.20398,2.058181,13.74182,9.76565,9.280629,7.903477,7.683143,7.69524,6.788328,5.59929,6.010253,5.196411,4.947191,5.172181,5.161314
D:\pump\id_04\abnormal\00000029.wav,id_04,1,abnormal,0.212153,2397.37,1943.33,4540.46,0.144654,0.223672,127.9,53.879906,54.6408,-14.457995,34.109932,2.254501,11.911554,-5.051633,-0.724486,1.996702,0.724772,4.250647,0.078634,-2.480577,4.292483,3.163422,2.922833,3.061401,3.148468,3.035616,3.293536,2.714899,2.804013,3.059136,3.100029,2.811702,2.831498
D:\pump\id_00\normal\00000551.wav,id_00,0,normal,0.16737,1605.78,1797.6,3437.8,0.034522,0.101455,165.8,-18.718189,106.248001,-2.091789,1.968649,-9.196934,4.37516,6.057584,6.320201,-1.582995,-6.11585,-3.117907,0.500733,1.167342,12.885911,9.080163,7.975011,7.259669,6.645602,6.174153,5.879382,5.926987,5.499483,4.97229,5.508942,4.81215,4.97604
D:\pump\id_00\normal\00000432.wav,id_00,0,normal,0.187448,1673.07,1838.16,3667.43,0.04076,0.103459,166.4,-2.858447,101.320534,-2.216533,6.784355,-5.793606,6.552609,4.163212,6.653739,1.277986,-2.389235,-3.357846,-6.553802,-3.550584,13.079386,9.123722,8.958276,7.017048,7.311658,6.395731,5.907077,5.720853,6.175747,5.320065,5.082022,4.820761,4.969513
D:\pump\id_06\normal\00000087.wav,id_06,0,normal,0.250697,1040.07,1427.2,1637.23,0.004773,0.065859,187.6,-53.000511,143.602692,13.581339,-4.547311,-7.320579,0.326986,-1.705563,-3.855175,-9.180343,-10.886563,-8.399886,-1.176407,3.718018,6.875231,5.554925,5.391936,5.93501,5.336387,4.442032,4.775395,4.660178,3.969771,3.616538,3.896511,3.813844,3.781216
D:\pump\id_04\normal\00000311.wav,id_04,0,normal,0.262918,2732.72,2069.69,5281.72,0.057173,0.269502,2305.9,27.034637,39.591103,-10.456779,20.658184,-0.317114,-7.690476,-2.728803,11.807075,-4.005551,-6.662515,11.420882,-0.605227,-7.283965,3.279843,3.108912,2.891146,2.626233,2.90268,2.607308,2.704246,2.92283,2.606636,2.778617,2.898751,2.837259,2.898751
D:\pump\id_06\normal\00000144.wav,id_06,0,normal,0.251246,827.44,1142.03,1300.97,0.002237,0.057503,187.8,-78.832985,168.330551,7.213331,8.323971,-3.538545,6.885465,-0.63591,-6.566129,-10.434052,-7.368598,-5.448515,4.297797,3.644388,14.387189,14.005367,9.745478,7.32931,6.865432,7.285375,5.992213,5.847412,5.550346,5.448957,5.75603,5.112133,5.018728
D:\pump\id_02\normal\00000393.wav,id_02,0,normal,0.177177,1704.86,1846.93,3664.56,0.04105,0.124178,172.2,-3.782147,98.047028,-10.79797,2.582718,3.844143,18.639187,10.308793,1.967866,4.043456,1.193005,1.036088,-5.531543,-3.336279,8.19335,7.420084,5.146202,5.141874,4.143081,3.779863,4.345495,4.346306,4.281299,4.018677,3.953046,3.308519,3.701928
D:\pump\id_00\abnormal\00000058.wav,id_00,1,abnormal,0.110938,1797.83,1790.09,3668.26,0.066679,0.132165,500.2,-61.890587,93.914146,-14.130875,7.126901,-10.771991,-1.814958,-5.16006,-7.274504,-9.66764,-4.171516,-4.740417,-0.99102,-0.692604,25.139021,15.768748,8.263853,7.954821,9.790886,7.803206,6.240189,5.577611,5.542523,5.138721,4.759878,4.580771,4.596734
D:\pump\id_00\normal\00000073.wav,id_00,0,normal,0.101176,2032.99,1933.13,4237.15,0.096813,0.152433,165.8,-32.698578,81.086311,-11.316187,11.681358,-1.088484,9.210048,3.681869,2.434397,-2.496023,-0.49157,-2.903001,2.241196,1.772807,14.621996,10.863102,9.364435,7.886147,7.788498,7.741103,7.195149,5.554208,6.07414,6.231579,5.433085,5.446502,4.91112
D:\pump\id_04\abnormal\00000000.wav,id_04,1,abnormal,0.232684,2354.98,1889.04,4342.98,0.080384,0.241389,71.6,39.080616,56.136433,-10.15793,45.977409,-4.150733,-3.980131,-4.744137,1.615452,-1.900722,-4.674752,12.413472,2.501048,-11.488039,4.867043,3.156344,2.641276,2.84627,2.570565,2.772261,2.738802,2.965261,2.9051,3.016892,3.193229,2.852405,2.751237
D:\pump\id_06\normal\00000487.wav,id_06,0,normal,0.230366,1484.62,1856.5,3431.63,0.023935,0.072919,284.0,-10.338518,103.219521,12.495721,25.252565,9.5617,10.45903,1.955261,1.485799,-4.203618,-1.228672,-3.327597,-1.654376,-2.800818,11.161919,8.605666,6.201744,5.389645,4.510627,3.976919,4.115813,4.707105,3.781217,3.77333,4.041478,3.692042,4.124741
D:\pump\id_02\abnormal\00000054.wav,id_02,1,abnormal,0.227982,1888.43,1868.88,3918.66,0.056821,0.150066,1504.1,32.976391,87.573418,-14.774282,6.520902,-0.704487,12.539222,5.550974,-0.796879,0.639851,7.412462,-1.426445,-4.654579,0.243441,5.578638,5.339838,3.197097,3.469655,3.078633,3.098062,3.104776,2.694097,3.234856,3.306726,2.966481,2.889662,3.103336
D:\pump\id_04\normal\00000018.wav,id_04,0,normal,0.221727,2582.0,2220.7,5558.36,0.079605,0.206044,575.5,23.134212,48.654602,9.909161,29.726759,5.301067,-6.124594,-6.491649,10.346326,-2.363964,5.878209,12.717925,8.63031,-9.272437,4.344158,3.087715,3.111791,3.193776,2.871014,2.588375,2.811813,2.486036,2.970444,2.846964,3.092894,2.798445,2.688541
D:\pump\id_02\normal\00000771.wav,id_02,0,normal,0.104958,1917.44,1880.64,3956.25,0.06082,0.15111,1489.1,-45.804176,87.367523,-14.415584,5.711361,3.102227,14.416262,6.599022,-0.111394,3.20629,5.09486,-2.522105,-6.995652,-6.894784,17.86721,10.753025,11.381497,7.928824,6.748436,7.466861,6.694903,5.52296,5.829898,5.260589,4.512862,4.950371,5.112653
D:\pump\id_04\abnormal\00000084.wav,id_04,1,abnormal,0.273033,2128.57,1865.4,4172.77,0.047426,0.178482,1383.2,35.242527,70.860985,-13.114893,20.917992,-6.354876,10.798697,0.648287,-11.448256,-7.958935,7.090135,4.388041,-6.44591,-3.993245,3.302927,2.816592,2.876242,2.895685,2.732563,2.75971,2.918534,2.646017,2.971572,2.912078,2.896918,2.615808,2.655419
D:\pump\id_00\normal\00000525.wav,id_00,0,normal,0.146173,1628.98,1782.99,3463.01,0.039312,0.109623,165.7,-26.772976,104.846718,-5.079954,3.860501,-7.817043,6.815154,6.983166,7.056456,-4.159697,-7.298985,-0.774372,1.413537,0.446212,13.404644,8.807081,7.867908,7.663637,7.852178,7.309591,6.497101,6.100435,5.895325,5.640184,5.596008,5.094684,5.197192
D:\pump\id_06\normal\00000505.wav,id_06,0,normal,0.231803,1239.64,1647.72,2338.58,0.012179,0.076298,284.0,-24.218651,128.5242,12.193225,2.373904,3.254272,3.743204,0.420061,-0.417696,-8.190406,-5.042737,3.171826,0.86643,-4.189758,7.601226,5.664152,4.817383,4.839051,4.448499,4.931377,4.607874,3.927593,3.322181,4.139124,3.475373,3.432729,3.476443
D:\pump\id_06\normal\00000465.wav,id_06,0,normal,0.223568,1267.12,1728.73,2570.94,0.013118,0.072005,163.1,-30.87681,124.689163,21.047087,4.690879,3.036879,6.019699,-0.33334,1.117675,-1.899544,-2.516811,-4.907465,-8.309834,-1.954528,11.325431,8.33099,8.008402,7.796548,6.180777,5.401658,5.942022,5.5021,4.823755,4.421533,4.470422,4.063706,4.327415
D:\pump\id_04\abnormal\00000079.wav,id_04,1,abnormal,0.231934,2335.78,1890.02,4357.78,0.124203,0.23031,1388.0,60.469841,60.543354,-17.427637,24.051409,-6.916822,6.074488,2.818513,-6.695542,-10.026233,6.396553,1.57836,-0.327492,-0.15215,3.298066,2.664356,2.886224,2.80003,2.922011,3.136437,3.186399,3.088252,2.912427,3.136147,2.81539,2.986458,2.991216
D:\pump\id_06\normal\00000240.wav,id_06,0,normal,0.21451,853.96,1096.32,1695.39,0.00155,0.064111,188.8,-105.078728,171.86499,1.782991,8.636806,-0.741285,0.404851,-3.615705,8.058429,9.266697,-1.537561,-19.016932,-8.624641,11.576916,13.746627,12.031807,5.554645,4.44663,4.316708,4.245563,4.168637,3.653925,4.104341,3.61552,3.509815,3.238014,3.573776
D:\pump\id_06\normal\00000211.wav,id_06,0,normal,0.244221,941.99,1250.47,1773.59,0.00513,0.056176,188.4,-36.360538,153.626297,-3.453832,23.900618,-9.928381,6.074197,-3.887068,6.786693,1.639925,3.507237,-4.15394,-2.176986,-1.176597,4.185338,3.49848,3.06118,3.089991,2.638293,2.906097,2.828787,2.875193,2.879448,2.677836,2.82497,2.670845,2.68405
D:\pump\id_06\normal\00000120.wav,id_06,0,normal,0.220954,890.32,1213.73,1438.92,0.003126,0.060762,187.7,-77.876045,157.863724,4.527102,10.410772,-4.258122,11.039131,0.083766,-6.525834,-11.798587,-7.13239,0.268905,5.385365,2.075606,10.847853,10.780416,7.403294,6.358255,5.974782,5.302092,5.000666,4.946355,4.494961,4.787021,4.958538,3.766926,4.354219
D:\pump\id_02\normal\00000224.wav,id_02,0,normal,0.169159,1845.21,1890.33,3893.75,0.060948,0.132596,63.9,2.530782,88.492172,-9.756184,15.74854,7.279046,18.707409,6.19922,0.303207,0.939936,4.762388,0.884194,-1.383516,1.553269,11.235136,9.872667,8.503069,7.253667,7.038733,6.687569,6.358052,6.077938,6.408662,5.754689,5.281514,4.740036,5.024055
D:\pump\id_06\normal\00000036.wav,id_06,0,normal,0.24801,1403.4,1613.83,2890.65,0.016792,0.082537,188.6,-6.350672,113.769234,-5.490299,15.235455,-11.828692,-6.050008,-7.640187,-1.900011,-11.406459,-5.682803,-7.023134,2.479514,-0.476663,14.633245,9.142045,5.158755,4.178584,5.287848,3.832745,4.49053,3.669749,3.038688,4.016564,4.658371,3.233957,3.525315
D:\pump\id_06\normal\00000113.wav,id_06,0,normal,0.257325,902.71,1124.68,1465.06,0.002634,0.06945,188.7,-60.036549,163.830246,-9.710526,8.917534,-7.151027,6.912322,-4.382885,-7.572718,-12.926092,-6.908981,-3.927442,1.404564,0.04338,11.49055,9.885849,7.622085,5.226489,5.479331,5.143901,4.398534,4.594904,4.170986,3.949337,4.424723,5.674629,4.701245
D:\pump\id_02\normal\00000055.wav,id_02,0,normal,0.164967,1744.67,1852.99,3745.78,0.049047,0.12568,71.6,-7.586239,95.039574,-5.447234,18.188923,4.922479,13.295072,2.669112,-1.965534,-1.941737,7.103038,0.587852,-6.919705,-1.687228,12.415068,11.626945,6.576514,7.21278,6.486649,5.959682,6.402718,6.253531,6.017712,5.417919,4.888039,4.882905,5.014208
D:\pump\id_06\normal\00000349.wav,id_06,0,normal,0.226372,860.53,1189.57,1587.76,0.003017,0.044363,187.7,-69.086998,158.474457,-1.198042,27.76771,-2.497439,9.884769,-7.087742,-2.815998,-6.345138,-1.127442,-5.200625,-0.901926,0.149186,7.958394,7.238128,4.810253,4.678413,3.553259,3.543632,3.743595,3.387289,3.644755,3.338967,3.433493,2.771844,3.626393
D:\pump\id_00\normal\00000370.wav,id_00,0,normal,0.214764,2042.77,2006.21,4433.36,0.080854,0.136207,120.0,31.484217,79.086845,-0.825654,13.703996,-5.203865,7.59725,2.273252,3.546594,-4.1426,0.755478,-0.238028,1.786778,3.015704,10.740649,8.194916,8.458015,5.973224,6.638888,6.02098,5.294219,6.2149,5.014722,4.869922,4.670544,4.795436,4.501357
D:\pump\id_06\normal\00001005.wav,id_06,0,normal,0.244391,1235.76,1611.69,2350.14,0.010876,0.069278,188.3,-23.478003,129.283066,8.265068,0.691228,-2.587989,1.544051,-0.166776,0.970733,-6.276608,-6.909479,-3.371988,1.937064,2.772684,8.460884,6.006976,6.4917,6.940532,5.578695,5.442696,4.823309,5.478971,4.553582,4.726574,4.973849,4.019465,4.362627
D:\pump\id_02\normal\00000235.wav,id_02,0,normal,0.171466,1806.9,1857.94,3819.54,0.057899,0.130909,47.5,3.303195,91.575638,-8.863139,18.904802,4.044044,15.116118,4.380733,1.455793,-0.761615,1.363884,1.405303,-3.857143,0.908112,11.843893,10.780849,8.515272,7.86866,7.137769,6.991015,6.194011,5.38236,6.021095,5.633453,5.214202,5.647516,4.946968
D:\pump\id_04\normal\00000550.wav,id_04,0,normal,0.241107,2541.39,2139.9,5167.33,0.111751,0.225344,431.1,49.980598,50.851864,0.398995,27.970236,7.765058,2.017723,-13.211223,-2.603657,-6.562044,2.075584,14.267803,0.610584,-11.591228,3.453938,2.815001,2.639096,2.717046,3.093389,2.569849,2.66756,2.777759,2.584984,2.817322,2.71459,2.568929,2.678181
D:\pump\id_06\normal\00000527.wav,id_06,0,normal,0.227939,1036.7,1291.02,1934.58,0.007344,0.067455,283.1,-31.424141,148.480072,-14.186447,20.771053,2.731076,14.333897,-0.903085,-1.969565,-5.340536,-3.477215,-5.464044,-3.2772,0.595204,19.88957,10.2976,14.276849,7.449312,7.177979,6.830112,5.417387,4.916143,4.587989,4.763805,4.910842,4.184306,4.114154
D:\pump\id_06\normal\00000483.wav,id_06,0,normal,0.138459,1703.94,1952.88,3900.18,0.043306,0.094714,284.1,-34.868023,93.89946,9.165632,22.107279,5.610734,8.056911,0.322575,-1.18465,-4.537912,-3.995142,-5.141013,-2.409062,-0.568811,9.782511,5.337309,5.824144,5.740575,4.718352,5.08121,4.460741,4.504179,4.171606,3.561423,4.088785,3.528629,3.551386
D:\pump\id_04\normal\00000176.wav,id_04,0,normal,0.245129,2516.0,2176.46,5199.98,0.120605,0.232464,71.6,54.854332,55.223293,4.730773,26.313261,2.769689,-4.044253,-2.905468,3.843818,-2.935048,-2.546777,11.975706,2.926837,-6.143751,3.50508,2.686449,3.059973,3.002082,2.596962,2.562798,2.318171,2.887273,2.663247,2.803595,2.851943,2.477695,2.98507
D:\pump\id_06\normal\00000760.wav,id_06,0,normal,0.288599,1346.06,1770.18,3093.95,0.010087,0.040162,188.2,-21.826181,110.586311,12.119481,19.182974,1.738944,8.414457,2.893653,1.212864,-3.536839,-3.913834,-5.592984,-1.891874,-0.798895,3.458988,2.814023,2.859269,2.602244,2.649868,2.864652,2.674263,2.949357,2.709201,2.80366,2.896352,2.57046,2.696959
D:\pump\id_02\normal\00000630.wav,id_02,0,normal,0.127644,1702.21,1821.42,3550.52,0.04022,0.122225,285.3,-39.365612,99.657326,-10.951344,4.51637,4.064968,17.19906,8.318156,-5.70759,-0.893169,2.84735,6.16719,4.759565,0.687913,13.305111,11.035724,7.545188,7.245386,5.886594,5.857039,5.651577,5.319563,5.4691,5.150854,4.137688,4.52515,4.639701
D:\pump\id_06\normal\00001014.wav,id_06,0,normal,0.242231,1300.28,1644.21,2635.41,0.012905,0.06911,188.4,-19.151619,121.926056,5.718528,7.815999,-5.325788,1.004106,3.942385,5.780437,-11.526845,-6.267152,-2.784206,-4.740675,2.133557,8.723202,5.020523,6.692069,5.462323,4.984982,4.828122,5.204803,4.165779,4.721425,4.085712,4.1325,4.161922,3.76562
D:\pump\id_00\normal\00000061.wav,id_00,0,normal,0.104619,1961.9,1906.01,4099.17,0.086939,0.145447,166.1,-32.384766,85.448357,-11.897419,11.160478,-0.229622,7.465894,2.590637,1.840484,-3.058291,-0.82485,-3.126668,1.850716,1.480164,13.570756,11.725721,9.085144,8.315246,7.871348,7.445895,6.652744,6.202925,5.981996,6.02672,5.105412,4.980411,4.827621
D:\pump\id_04\normal\00000590.wav,id_04,0,normal,0.22303,2621.8,2141.12,5211.34,0.112892,0.230823,186.4,39.964821,44.21661,-2.097806,28.6332,9.913462,8.144324,-7.180821,0.958345,-3.325985,4.776107,17.507345,2.689817,-10.610754,3.432515,2.700095,2.536346,2.69293,3.203645,2.992878,2.749174,2.37518,3.130874,2.757273,3.066471,2.606886,2.8691
D:\pump\id_02\normal\00000636.wav,id_02,0,normal,0.188484,1621.86,1829.16,3530.18,0.033623,0.107558,120.4,-10.476308,101.738884,-5.523165,10.459947,7.989493,22.195063,10.051974,-2.157223,1.876104,3.37515,2.989445,2.268504,-2.568221,12.694821,11.025332,8.840235,7.267449,6.679522,6.214741,5.501194,5.392592,5.813615,5.619133,4.912819,4.391437,4.523423
